policy,tenant,app,bw_mbps,rtt_ms,loss,device_cpu,edge_cpu,input_kb,slo_p95_ms,chosen_action,mu_latency_ms,mu_energy_j,p95_conformal_ms,slo_viol,ts
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,140.0,cloud1:low,277.489,5.24747,287.974,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,180.0,edge1:med,172.049,6.70251,181.781,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,180.0,edge1:high,166.948,9.38351,178.255,0,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,180.0,local:med,180.135,10.47266,187.938,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,180.0,edge1:med,172.049,6.70251,181.781,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,180.0,cloud1:low,277.489,5.27822,287.974,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,220.0,edge1:med,174.367,6.70251,184.099,0,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,220.0,edge1:high,169.196,9.38351,180.504,0,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,220.0,local:med,182.549,10.47266,190.352,0,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,220.0,edge1:med,174.367,6.70251,184.099,0,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,220.0,cloud1:low,280.658,5.27822,291.143,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,100.0,edge1:high,394.103,28.20295,405.411,1,1760776593
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,100.0,edge1:high,394.103,28.20295,405.411,1,1760776593
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,100.0,local:med,424.073,31.47650,431.876,1,1760776593
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,100.0,edge1:med,406.230,20.14496,415.962,1,1760776593
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,100.0,cloud1:low,597.659,15.86416,608.143,1,1760776593
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,140.0,edge1:med,406.230,20.03003,415.962,1,1760776593
